Track ID,Track Name,Artists,Album Name,Release Date,Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms
3tPPP39TSamzLPOJomKALp,NO PIENSO LLAMAR,"Soge Culebra, Quevedo, GARABATTO",STORM,2023-10-13,False,71,0.181,0.679,0.556,0.0,0.108,-5.299,0.148,169.997,0.583,198353
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,=,2021-10-29,False,86,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822,207853
6Z0LS8Qts9v9sR7N8yt7Ig,Energía,Alexis y Fido,Perreología,2011-03-21,False,57,0.214,0.783,0.831,5.38e-05,0.263,-3.465,0.0372,93.997,0.655,221440
6N6Y1AdoGqw5H3lzli5DgL,Starting Now,Brandy,Starting Now,2021-05-21,False,53,0.0314,0.555,0.851,2.59e-05,0.0902,-4.525,0.121,125.086,0.314,204173
30WnQsvwFeYEd9k08vV7Dl,Gravity (feat. Laura Korinth) - Edit,"Boris Brejcha, Laura Korinth",Gravity (feat. Laura Korinth),2019-07-12,False,58,0.00149,0.783,0.616,0.769,0.117,-11.131,0.0691,125.023,0.0734,216000
1kuU8IRPYIq64fn2evGtw0,October,Adrián Berenguer,Still Life,2021-02-19,False,57,0.93,0.448,0.337,0.952,0.0888,-10.068,0.0363,132.056,0.191,272091
7Hjr124CfhS8HYAHJitVO4,Fire,"Matthew ""Mdot"" Finley",Camp Rock 2: The Final Jam,2010-01-01,False,43,0.123,0.71,0.946,0.0,0.203,-4.431,0.078,120.089,0.681,182227
5jLnujbLiLX37n0BygYXre,Suicida,"Costa, DRED BEY",Salvaje,2023-03-31,True,35,0.272,0.78,0.74,0.00272,0.69,-5.289,0.0893,139.933,0.78,156000
1eV81a6H4xDdpi8r2C4tQT,Gravity,"Boris Brejcha, Laura Korinth",Gravity,2019-07-12,False,63,0.00149,0.783,0.616,0.769,0.117,-11.131,0.0691,125.023,0.0734,216000
6cPe7rorhofISE335CqPmH,Els teus ulls,Alfred García,Els teus ulls,2023-10-13,False,54,0.303,0.782,0.544,0.000592,0.0698,-9.196,0.114,95.141,0.619,151000
5RmzHQdbBSQ0NdCrqNBwAv,A_1000_Km.mp3,Emilia,.mp3,2023-11-03,False,66,0.316,0.578,0.516,0.0,0.0909,-4.881,0.0289,103.953,0.29,200769
32fmwlkq7srmOAb5N0vdyj,Echo,"RSCL, Repiet, Julia Kleijn",Echo,2023-08-11,False,75,0.242,0.702,0.878,0.695,0.0988,-6.734,0.0394,124.996,0.111,134400
2nejEeai3PQKiS7q11v0mq,Let Her Go,"LANDR, Ruuben, Walle",Let Her Go,2020-12-25,False,45,0.00537,0.712,0.803,9.81e-05,0.307,-7.206,0.0276,120.018,0.308,201005
7bV6pAIWPet9TOQenaAGMO,Desfibrilador,"Costa, DRED BEY, KIDDO, Natos y Waor",Salvaje,2023-03-31,True,41,0.516,0.678,0.838,0.0,0.253,-5.798,0.167,149.821,0.806,196702
6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,Justice,2021-03-19,False,88,0.185,0.601,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,0.441,153190
39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Metro Boomin, Swae Lee, Lil Wayne, Offset",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023-06-02,False,81,0.214,0.611,0.483,0.0,0.124,-6.216,0.055,145.983,0.204,231747
2VF8TTWczzupwrhtsQfx48,Lugar Seguro,"Jay Wheeler, Noreh",Emociones,2022-08-19,True,71,0.889,0.418,0.359,0.0,0.0634,-11.45,0.0371,86.721,0.396,182724
4iGQ8o9Ih6J1OuDDGCXSCL,DISPO,"KAROL G, Young Miko",MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-11,True,81,0.466,0.832,0.64,0.0,0.123,-3.085,0.0483,93.946,0.645,193961
4WBJO0asHRwWh7yyFHzABq,GANAS,"Polimá Westcoast, Nicky Jam",GANAS,2023-08-03,True,56,0.526,0.828,0.627,0.00146,0.57,-6.607,0.0518,115.006,0.519,169652
4b2rlKIqyLxpxoIaG7sZ5K,Save Me,"Anyma, Cassian, Poppy Baskcomb",Genesys,2023-08-11,False,65,0.000485,0.673,0.908,0.781,0.113,-6.36,0.0387,126.013,0.045,189784
